party,ministry,questions,ministry_total,party_total,lift
Unknown,COMMUNICATIONS,5,1120,142,1.867
BRS,SCIENCE AND TECHNOLOGY,4,430,296,1.866
J&KNC,TOURISM,3,1076,89,1.86
NOM.,EDUCATION,25,2802,285,1.859
KC(M),CIVIL AVIATION,9,2129,135,1.859
BAP,RURAL DEVELOPMENT,6,1389,138,1.859
RLP,COAL,3,661,145,1.859
TDP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,60,882,2178,1.855
UPPL,TOURISM,4,1076,119,1.855
PMK,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,33,1.853
DMDK,CHEMICALS AND FERTILIZERS,1,1235,26,1.849
ASP (KR),AYUSH,3,1138,85,1.842
J&KNC,RAILWAYS,8,2900,89,1.841
NOM.,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",9,1021,285,1.837
AJSU,EXTERNAL AFFAIRS,2,1026,63,1.837
TDP,SPACE,16,238,2178,1.833
AAP,EXTERNAL AFFAIRS,25,1026,790,1.832
BAP,PLANNING,1,235,138,1.831
IND.,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",54,1809,971,1.826
IND.,PARLIAMENTARY AFFAIRS,2,67,971,1.826
RJD,LAW AND JUSTICE,15,911,537,1.821
LJSP(RV),POWER,7,830,276,1.815
ASP (KR),FOOD PROCESSING INDUSTRIES,2,770,85,1.815
KEC,CHEMICALS AND FERTILIZERS,2,1235,53,1.814
VCK,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2,305,215,1.811
UPPL,POWER,3,830,119,1.804
SS,ATOMIC ENERGY,15,437,1132,1.801
ZPM,ROAD TRANSPORT AND HIGHWAYS,1,2061,16,1.801
AAP,STEEL,8,334,790,1.8
Unknown,INFORMATION AND BROADCASTING,2,465,142,1.799
UPPL,RURAL DEVELOPMENT,5,1389,119,1.796
CPI,FINANCE,28,2253,412,1.791
IUML,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",21,1021,682,1.791
RJD,DEFENCE,3,186,537,1.784
VCK,INFORMATION AND BROADCASTING,3,465,215,1.782
YSRCP,ELECTRONICS AND INFORMATION TECHNOLOGY,37,971,1271,1.78
SP,DEFENCE,13,186,2331,1.78
ASP (KR),LABOUR AND EMPLOYMENT,4,1570,85,1.78
BRS,"MICRO, SMALL AND MEDIUM ENTERPRISES",10,1131,296,1.774
NOM.,PLANNING,2,235,285,1.773
BAP,COOPERATION,3,731,138,1.766
JMM,DEVELOPMENT OF NORTH EASTERN REGION,1,176,192,1.757
AIADMK,ATOMIC ENERGY,9,437,697,1.755
IND.,STATISTICS AND PROGRAMME IMPLEMENTATION,9,314,971,1.753
SKM,FOOD PROCESSING INDUSTRIES,1,770,44,1.753
CPI(M),PETROLEUM AND NATURAL GAS,37,1138,1102,1.752
MDMK,COMMERCE AND INDUSTRY,6,1356,150,1.752
BAP,CORPORATE AFFAIRS,3,737,138,1.752
RSP,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,108,1.751
MDMK,"MICRO, SMALL AND MEDIUM ENTERPRISES",5,1131,150,1.75
JSP,AGRICULTURE AND FARMERS WELFARE,18,2754,222,1.748
NCP(SP),AGRICULTURE AND FARMERS WELFARE,57,2754,704,1.746
BJD,STEEL,10,334,1019,1.745
RLP,PLANNING,1,235,145,1.743
UPPL,PANCHAYATI RAJ,2,573,119,1.742
TDP,ELECTRONICS AND INFORMATION TECHNOLOGY,62,971,2178,1.741
JD(U),PARLIAMENTARY AFFAIRS,2,67,1018,1.741
JSP,TOURISM,7,1076,222,1.74
VCK,WOMEN AND CHILD DEVELOPMENT,8,1271,215,1.738
JD(U),PLANNING,7,235,1018,1.738
IND.,DEVELOPMENT OF NORTH EASTERN REGION,5,176,971,1.737
LJSP(RV),NEW AND RENEWABLE ENERGY,8,995,276,1.73
AIADMK,HOUSING AND URBAN AFFAIRS,37,1823,697,1.729
BJD,CIVIL AVIATION,63,2129,1019,1.724
AITC,FINANCE,166,2253,2544,1.72
PMK,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,33,1.717
AAP,DEVELOPMENT OF NORTH EASTERN REGION,4,176,790,1.708
AAP,PANCHAYATI RAJ,13,573,790,1.705
SAD,EDUCATION,7,2802,87,1.705
RLM,NEW AND RENEWABLE ENERGY,1,995,35,1.705
AITC,MINORITY AFFAIRS,39,535,2544,1.702
TDP,NEW AND RENEWABLE ENERGY,62,995,2178,1.699
CPI(ML)(L),TEXTILES,4,699,200,1.699
MDMK,TEXTILES,3,699,150,1.699
IND.,POWER,23,830,971,1.695
J&KNC,HEALTH AND FAMILY WELFARE,9,3550,89,1.691
LJSP(RV),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",8,1021,276,1.686
MDMK,PLANNING,1,235,150,1.685
AITC,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",22,305,2544,1.684
DMDK,COMMERCE AND INDUSTRY,1,1356,26,1.684
KEC,JAL SHAKTI,3,1997,53,1.683
AIADMK,CIVIL AVIATION,42,2129,697,1.681
BAP,EXTERNAL AFFAIRS,4,1026,138,1.678
J&KNC,TRIBAL AFFAIRS,2,796,89,1.676
AIADMK,COMMUNICATIONS,22,1120,697,1.673
YSRCP,CHEMICALS AND FERTILIZERS,44,1235,1271,1.665
NOM.,"MICRO, SMALL AND MEDIUM ENTERPRISES",9,1131,285,1.658
RLP,CHEMICALS AND FERTILIZERS,5,1235,145,1.658
JMM,COMMUNICATIONS,6,1120,192,1.657
AJSU,PETROLEUM AND NATURAL GAS,2,1138,63,1.657
BRS,ELECTRONICS AND INFORMATION TECHNOLOGY,8,971,296,1.653
