party,ministry,questions,ministry_total,party_total,lift
CPI(M),HEAVY INDUSTRIES,4,406,1102,0.531
LJSP(RV),HEAVY INDUSTRIES,1,406,276,0.53
CPI(M),"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",10,1021,1102,0.528
KEC,CIVIL AVIATION,1,2129,53,0.526
IND.,TEXTILES,6,699,971,0.525
NOM.,TRIBAL AFFAIRS,2,796,285,0.524
AIMIM,NEW AND RENEWABLE ENERGY,1,995,114,0.524
ASP (KR),"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,85,0.524
CPI(ML)(L),PETROLEUM AND NATURAL GAS,2,1138,200,0.522
CPI(M),AYUSH,11,1138,1102,0.521
AJSU,HOUSING AND URBAN AFFAIRS,1,1823,63,0.517
JD(U),"MICRO, SMALL AND MEDIUM ENTERPRISES",10,1131,1018,0.516
UPPL,RAILWAYS,3,2900,119,0.516
MDMK,"PORTS, SHIPPING AND WATERWAYS",1,769,150,0.515
NOM.,HEAVY INDUSTRIES,1,406,285,0.513
SP,TRIBAL AFFAIRS,16,796,2331,0.512
BJD,YOUTH AFFAIRS AND SPORTS,9,1024,1019,0.512
AITC,COOPERATION,16,731,2544,0.511
RSP,TOURISM,1,1076,108,0.511
AIMIM,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,114,0.51
RLD,NEW AND RENEWABLE ENERGY,1,995,117,0.51
SP,HOME AFFAIRS,21,1051,2331,0.509
NCP,AYUSH,2,1138,205,0.509
ASP (KR),AGRICULTURE AND FARMERS WELFARE,2,2754,85,0.507
PMK,HEALTH AND FAMILY WELFARE,1,3550,33,0.507
CPI(M),CULTURE,10,1069,1102,0.504
BRS,TRIBAL AFFAIRS,2,796,296,0.504
AIADMK,COMMERCE AND INDUSTRY,8,1356,697,0.503
NOM.,RAILWAYS,7,2900,285,0.503
JSP,CIVIL AVIATION,4,2129,222,0.503
SAD,COMMERCE AND INDUSTRY,1,1356,87,0.503
YSRCP,YOUTH AFFAIRS AND SPORTS,11,1024,1271,0.502
SS,COOPERATION,7,731,1132,0.502
AITC,DEFENCE,4,186,2544,0.502
CPI(M),MINES,4,429,1102,0.502
JD(U),INFORMATION AND BROADCASTING,4,465,1018,0.502
NOM.,POWER,2,830,285,0.502
CPI(M),SCIENCE AND TECHNOLOGY,4,430,1102,0.501
RJD,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,4,882,537,0.501
JMM,CHEMICALS AND FERTILIZERS,2,1235,192,0.501
LJSP(RV),SCIENCE AND TECHNOLOGY,1,430,276,0.5
JSP,MINORITY AFFAIRS,1,535,222,0.5
RLD,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,117,0.497
SHS(UBT),TEXTILES,4,699,686,0.495
RLD,EXTERNAL AFFAIRS,1,1026,117,0.495
AITC,NEW AND RENEWABLE ENERGY,21,995,2544,0.493
NOM.,WOMEN AND CHILD DEVELOPMENT,3,1271,285,0.492
J&KNC,COMMERCE AND INDUSTRY,1,1356,89,0.492
RSP,COMMUNICATIONS,1,1120,108,0.491
YSRCP,SOCIAL JUSTICE AND EMPOWERMENT,11,1048,1271,0.49
CPI,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,3,882,412,0.49
AITC,SCIENCE AND TECHNOLOGY,9,430,2544,0.489
AIADMK,SOCIAL JUSTICE AND EMPOWERMENT,6,1048,697,0.488
INC,COOPERATION,67,731,11184,0.487
NOM.,MINES,1,429,285,0.486
YSRCP,FOOD PROCESSING INDUSTRIES,8,770,1271,0.485
NOM.,SCIENCE AND TECHNOLOGY,1,430,285,0.485
AIMIM,TOURISM,1,1076,114,0.484
AIADMK,DEVELOPMENT OF NORTH EASTERN REGION,1,176,697,0.484
RLD,HOME AFFAIRS,1,1051,117,0.483
KC(M),LAW AND JUSTICE,1,911,135,0.483
IUML,JAL SHAKTI,11,1997,682,0.48
AIADMK,CULTURE,6,1069,697,0.478
AIADMK,MINORITY AFFAIRS,3,535,697,0.478
RLD,CIVIL AVIATION,2,2129,117,0.477
VCK,RAILWAYS,5,2900,215,0.476
CPI(M),YOUTH AFFAIRS AND SPORTS,9,1024,1102,0.474
IUML,CORPORATE AFFAIRS,4,737,682,0.473
JSP,"MICRO, SMALL AND MEDIUM ENTERPRISES",2,1131,222,0.473
CPI,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1,305,412,0.473
NOM.,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,2,882,285,0.472
BRS,EARTH SCIENCES,1,425,296,0.472
JD(U),NEW AND RENEWABLE ENERGY,8,995,1018,0.469
BAP,AGRICULTURE AND FARMERS WELFARE,3,2754,138,0.469
UPPL,CIVIL AVIATION,2,2129,119,0.469
UPPL,CULTURE,1,1069,119,0.467
SKM,RAILWAYS,1,2900,44,0.465
SHS(UBT),DEFENCE,1,186,686,0.465
CPI(M),PLANNING,2,235,1102,0.459
Unknown,LAW AND JUSTICE,1,911,142,0.459
NOM.,LAW AND JUSTICE,2,911,285,0.457
AITC,"PORTS, SHIPPING AND WATERWAYS",15,769,2544,0.455
VCK,HOUSING AND URBAN AFFAIRS,3,1823,215,0.455
RLD,COMMUNICATIONS,1,1120,117,0.453
SHS(UBT),FOOD PROCESSING INDUSTRIES,4,770,686,0.45
RLD,"MICRO, SMALL AND MEDIUM ENTERPRISES",1,1131,117,0.449
TDP,COOPERATION,12,731,2178,0.448
NOM.,INFORMATION AND BROADCASTING,1,465,285,0.448
YSRCP,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,1271,0.446
UPPL,FINANCE,2,2253,119,0.443
AJSU,CIVIL AVIATION,1,2129,63,0.443
DMK,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",8,305,3537,0.44
AITC,EARTH SCIENCES,8,425,2544,0.439
MDMK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",2,1809,150,0.438
CPI(ML)(L),COMMERCE AND INDUSTRY,2,1356,200,0.438
UPPL,PETROLEUM AND NATURAL GAS,1,1138,119,0.438
NCP,COAL,1,661,205,0.438
CPI,COAL,2,661,412,0.436
Unknown,RAILWAYS,3,2900,142,0.433
AGP,FINANCE,1,2253,61,0.432
RJD,"PORTS, SHIPPING AND WATERWAYS",3,769,537,0.431
Unknown,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,142,0.431
KC(M),YOUTH AFFAIRS AND SPORTS,1,1024,135,0.43
AAP,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,5,882,790,0.426
TDP,EXTERNAL AFFAIRS,16,1026,2178,0.425
IUML,CHEMICALS AND FERTILIZERS,6,1235,682,0.423
JMM,COOPERATION,1,731,192,0.423
AAP,CULTURE,6,1069,790,0.422
RLP,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,145,0.422
CPI(M),FOOD PROCESSING INDUSTRIES,6,770,1102,0.42
Unknown,NEW AND RENEWABLE ENERGY,1,995,142,0.42
JD(U),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",13,1809,1018,0.419
NOM.,NEW AND RENEWABLE ENERGY,2,995,285,0.419
CPI(ML)(L),CIVIL AVIATION,3,2129,200,0.418
VCK,COAL,1,661,215,0.418
AJSU,FINANCE,1,2253,63,0.418
RJD,TRIBAL AFFAIRS,3,796,537,0.417
NCP,RURAL DEVELOPMENT,2,1389,205,0.417
YSRCP,EXTERNAL AFFAIRS,9,1026,1271,0.41
AIMIM,WOMEN AND CHILD DEVELOPMENT,1,1271,114,0.41
Unknown,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,142,0.41
LJSP(RV),HOME AFFAIRS,2,1051,276,0.409
KC(M),TOURISM,1,1076,135,0.409
Unknown,YOUTH AFFAIRS AND SPORTS,1,1024,142,0.408
Unknown,EXTERNAL AFFAIRS,1,1026,142,0.408
NOM.,YOUTH AFFAIRS AND SPORTS,2,1024,285,0.407
TDP,PARLIAMENTARY AFFAIRS,1,67,2178,0.407
NOM.,EXTERNAL AFFAIRS,2,1026,285,0.406
NOM.,ROAD TRANSPORT AND HIGHWAYS,4,2061,285,0.404
SHS(UBT),MINES,2,429,686,0.404
BRS,JAL SHAKTI,4,1997,296,0.402
CPI,TOURISM,3,1076,412,0.402
YSRCP,TEXTILES,6,699,1271,0.401
AIADMK,EARTH SCIENCES,2,425,697,0.401
BAP,TOURISM,1,1076,138,0.4
RLP,EXTERNAL AFFAIRS,1,1026,145,0.399
RLD,WOMEN AND CHILD DEVELOPMENT,1,1271,117,0.399
IUML,ATOMIC ENERGY,2,437,682,0.398
MDMK,NEW AND RENEWABLE ENERGY,1,995,150,0.398
NCP,COOPERATION,1,731,205,0.396
IUML,COAL,3,661,682,0.395
VCK,TEXTILES,1,699,215,0.395
CPI,COOPERATION,2,731,412,0.394
YSRCP,CULTURE,9,1069,1271,0.393
NCP(SP),MINES,2,429,704,0.393
NCP,CORPORATE AFFAIRS,1,737,205,0.393
AIMIM,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,114,0.391
AITC,AYUSH,19,1138,2544,0.39
MDMK,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,150,0.388
ASP (KR),"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1,1809,85,0.386
JSP,TEXTILES,1,699,222,0.383
JD(U),"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",2,305,1018,0.382
BRS,HOME AFFAIRS,2,1051,296,0.382
SHS(UBT),AYUSH,5,1138,686,0.38
SP,PARLIAMENTARY AFFAIRS,1,67,2331,0.38
AAP,TRIBAL AFFAIRS,4,796,790,0.378
VCK,COOPERATION,1,731,215,0.378
MDMK,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,150,0.378
MDMK,HOME AFFAIRS,1,1051,150,0.377
BRS,MINORITY AFFAIRS,1,535,296,0.375
RLD,COMMERCE AND INDUSTRY,1,1356,117,0.374
JMM,POWER,1,830,192,0.373
SS,PETROLEUM AND NATURAL GAS,8,1138,1132,0.369
JSP,RAILWAYS,4,2900,222,0.369
SS,MINES,3,429,1132,0.367
SHS(UBT),SPACE,1,238,686,0.364
UPPL,AGRICULTURE AND FARMERS WELFARE,2,2754,119,0.362
SP,EARTH SCIENCES,6,425,2331,0.36
NCP(SP),PLANNING,1,235,704,0.359
VCK,"PORTS, SHIPPING AND WATERWAYS",1,769,215,0.359
CPI(ML)(L),POWER,1,830,200,0.358
AIADMK,SPACE,1,238,697,0.358
DMK,PLANNING,5,235,3537,0.357
NCP(SP),SPACE,1,238,704,0.354
MDMK,COMMUNICATIONS,1,1120,150,0.353
ASP (KR),JAL SHAKTI,1,1997,85,0.35
BJD,HEALTH AND FAMILY WELFARE,21,3550,1019,0.345
AJSU,AGRICULTURE AND FARMERS WELFARE,1,2754,63,0.342
JMM,LAW AND JUSTICE,1,911,192,0.339
RJD,COAL,2,661,537,0.335
SP,"PORTS, SHIPPING AND WATERWAYS",10,769,2331,0.331
SAD,ROAD TRANSPORT AND HIGHWAYS,1,2061,87,0.331
TDP,COAL,8,661,2178,0.33
AAP,PETROLEUM AND NATURAL GAS,5,1138,790,0.33
IND.,DEFENCE,1,186,971,0.329
ASP (KR),CIVIL AVIATION,1,2129,85,0.328
SHS(UBT),TRIBAL AFFAIRS,3,796,686,0.326
LJSP(RV),COAL,1,661,276,0.325
RJD,YOUTH AFFAIRS AND SPORTS,3,1024,537,0.324
BAP,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1,1332,138,0.323
SAD,CIVIL AVIATION,1,2129,87,0.321
TDP,CIVIL AVIATION,25,2129,2178,0.32
IND.,FOOD PROCESSING INDUSTRIES,4,770,971,0.318
NCP,LAW AND JUSTICE,1,911,205,0.318
CPI,LAW AND JUSTICE,2,911,412,0.316
IUML,POWER,3,830,682,0.315
SS,STEEL,2,334,1132,0.314
DMK,MINES,8,429,3537,0.313
VCK,SKILL DEVELOPMENT AND ENTREPRENEURSHIP,1,882,215,0.313
J&KNC,CIVIL AVIATION,1,2129,89,0.313
CPI(M),DEVELOPMENT OF NORTH EASTERN REGION,1,176,1102,0.306
CPI(ML)(L),ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,200,0.306
CPI(M),SKILL DEVELOPMENT AND ENTREPRENEURSHIP,5,882,1102,0.305
VCK,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",2,1809,215,0.305
IUML,PANCHAYATI RAJ,2,573,682,0.304
RSP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1,1809,108,0.304
JMM,"FISHERIES, ANIMAL HUSBANDRY AND DAIRYING",1,1021,192,0.303
JMM,YOUTH AFFAIRS AND SPORTS,1,1024,192,0.302
RSP,HOUSING AND URBAN AFFAIRS,1,1823,108,0.302
NCP,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,205,0.298
CPI,ELECTRONICS AND INFORMATION TECHNOLOGY,2,971,412,0.297
NCP(SP),PETROLEUM AND NATURAL GAS,4,1138,704,0.296
CPI(M),COOPERATION,4,731,1102,0.295
RLP,EDUCATION,2,2802,145,0.292
BRS,RURAL DEVELOPMENT,2,1389,296,0.289
JMM,TOURISM,1,1076,192,0.287
AITC,PANCHAYATI RAJ,7,573,2544,0.285
CPI,YOUTH AFFAIRS AND SPORTS,2,1024,412,0.282
NCP,EXTERNAL AFFAIRS,1,1026,205,0.282
VCK,NEW AND RENEWABLE ENERGY,1,995,215,0.278
CPI(ML)(L),CULTURE,1,1069,200,0.278
SHS(UBT),STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,686,0.276
RJD,HEAVY INDUSTRIES,1,406,537,0.272
JMM,PETROLEUM AND NATURAL GAS,1,1138,192,0.272
VCK,YOUTH AFFAIRS AND SPORTS,1,1024,215,0.27
AITC,ATOMIC ENERGY,5,437,2544,0.267
YSRCP,DEVELOPMENT OF NORTH EASTERN REGION,1,176,1271,0.265
CPI(ML)(L),COMMUNICATIONS,1,1120,200,0.265
IUML,STEEL,1,334,682,0.261
BRS,"PORTS, SHIPPING AND WATERWAYS",1,769,296,0.261
TDP,STATISTICS AND PROGRAMME IMPLEMENTATION,3,314,2178,0.26
RJD,EARTH SCIENCES,1,425,537,0.26
SHS(UBT),STEEL,1,334,686,0.259
RSP,CIVIL AVIATION,1,2129,108,0.258
RJD,SCIENCE AND TECHNOLOGY,1,430,537,0.257
JSP,SOCIAL JUSTICE AND EMPOWERMENT,1,1048,222,0.255
AIADMK,STEEL,1,334,697,0.255
CPI,PANCHAYATI RAJ,1,573,412,0.252
NCP(SP),HOME AFFAIRS,3,1051,704,0.241
AAP,STATISTICS AND PROGRAMME IMPLEMENTATION,1,314,790,0.239
JSP,PETROLEUM AND NATURAL GAS,1,1138,222,0.235
SAD,RAILWAYS,1,2900,87,0.235
JMM,COMMERCE AND INDUSTRY,1,1356,192,0.228
VCK,CHEMICALS AND FERTILIZERS,1,1235,215,0.224
JD(U),MINORITY AFFAIRS,2,535,1018,0.218
CPI(M),NEW AND RENEWABLE ENERGY,4,995,1102,0.217
NOM.,ELECTRONICS AND INFORMATION TECHNOLOGY,1,971,285,0.215
KC(M),ROAD TRANSPORT AND HIGHWAYS,1,2061,135,0.213
IUML,MINES,1,429,682,0.203
BAP,CIVIL AVIATION,1,2129,138,0.202
AIADMK,MINES,1,429,697,0.199
AIADMK,SCIENCE AND TECHNOLOGY,1,430,697,0.198
SS,MINORITY AFFAIRS,2,535,1132,0.196
RJD,"MICRO, SMALL AND MEDIUM ENTERPRISES",2,1131,537,0.196
DMK,DEVELOPMENT OF NORTH EASTERN REGION,2,176,3537,0.191
BRS,CULTURE,1,1069,296,0.188
CPI,FOOD PROCESSING INDUSTRIES,1,770,412,0.187
NOM.,COMMUNICATIONS,1,1120,285,0.186
AAP,MINES,1,429,790,0.175
NCP(SP),EXTERNAL AFFAIRS,2,1026,704,0.164
CPI(M),STEEL,1,334,1102,0.161
SS,COAL,2,661,1132,0.159
INC,PARLIAMENTARY AFFAIRS,2,67,11184,0.158
TDP,DEVELOPMENT OF NORTH EASTERN REGION,1,176,2178,0.155
AIADMK,PANCHAYATI RAJ,1,573,697,0.149
JSP,"ENVIRONMENT, FOREST AND CLIMATE CHANGE",1,1809,222,0.148
SP,DEVELOPMENT OF NORTH EASTERN REGION,1,176,2331,0.145
NCP,FINANCE,1,2253,205,0.129
IUML,COOPERATION,1,731,682,0.119
SP,SPACE,1,238,2331,0.107
CPI,JAL SHAKTI,1,1997,412,0.072
